MsgID.GLOBAL_POSITION,1527961349.3757463,-122.3974515,37.7924798,0.1550000
MsgID.LOCAL_VELOCITY,1527961349.3757463,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3759582,-0.0722744,0.1559628,-0.1552472
MsgID.LOCAL_VELOCITY,1527961349.3759582,0.0000231,-0.0000258,-0.0000272
MsgID.GLOBAL_POSITION,1527961349.3761487,-122.3974521,37.7924808,0.1870000
MsgID.LOCAL_VELOCITY,1527961349.3761487,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3763249,0.0396523,0.1001760,-0.1876789
MsgID.LOCAL_VELOCITY,1527961349.3763249,0.0000072,-0.0000719,-0.0001099
MsgID.GLOBAL_POSITION,1527961349.3765142,-122.3974510,37.7924808,0.2140000
MsgID.LOCAL_VELOCITY,1527961349.3765142,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3766863,0.0418115,0.2016250,-0.2143075
MsgID.LOCAL_VELOCITY,1527961349.3766863,-0.0000073,-0.0000188,-0.0001813
MsgID.GLOBAL_POSITION,1527961349.3768682,-122.3974510,37.7924814,0.2300000
MsgID.LOCAL_VELOCITY,1527961349.3768682,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3770354,0.1090019,0.2020139,-0.2308846
MsgID.LOCAL_VELOCITY,1527961349.3770354,0.0000125,-0.0000161,0.0000116
MsgID.STATE,1527961349.3773205,True,True
MsgID.GLOBAL_HOME,1527961349.3775249,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3776779,-122.3974529,37.7924821,0.2340000
MsgID.LOCAL_VELOCITY,1527961349.3776779,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3778548,0.1862678,0.0280340,-0.2349472
MsgID.LOCAL_VELOCITY,1527961349.3778548,0.0000172,-0.0000133,0.0001334
MsgID.GLOBAL_POSITION,1527961349.3780491,-122.3974536,37.7924807,0.2260000
MsgID.LOCAL_VELOCITY,1527961349.3780491,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3782353,0.0326625,-0.0269203,-0.2260516
MsgID.LOCAL_VELOCITY,1527961349.3782353,-0.0000164,-0.0000448,0.0000407
MsgID.GLOBAL_POSITION,1527961349.3784258,-122.3974512,37.7924803,0.2060000
MsgID.LOCAL_VELOCITY,1527961349.3784258,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3786337,-0.0180407,0.1879621,-0.2060613
